                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.52421,                0.36446,                  1.064,                0.76021,                0.86955,                0.89494,                0.72664,                0.77665,                0.79351,                 1.5161,             0.00017609,             0.00017609,             0.00017609
                     87,                0.50591,                0.36095,                 1.0551,                0.70104,                0.87856,                0.85911,                0.69345,                 0.7811,                0.95387,                 1.5163,             0.00016509,             0.00016509,             0.00016509
                     88,                0.51405,                0.36357,                 1.0728,                0.73871,                0.85419,                  0.858,                0.68867,                0.79353,                0.92804,                 1.5393,              0.0001541,              0.0001541,              0.0001541
                     89,                0.51019,                0.36467,                 1.0548,                0.76555,                0.85283,                0.86742,                0.69252,                0.78444,                0.83566,                 1.5416,              0.0001431,              0.0001431,              0.0001431
                     90,                0.50049,                0.33163,                 1.0523,                0.80711,                0.82339,                0.86969,                0.70427,                 0.7574,                0.81297,                 1.5087,              0.0001321,              0.0001321,              0.0001321
                     91,                0.46334,                 0.3483,                 1.0968,                0.79942,                0.81106,                  0.868,                0.70556,                0.75693,                0.84661,                 1.5215,              0.0001211,              0.0001211,              0.0001211
                     92,                 0.4377,                0.29631,                 1.0712,                 0.7971,                0.79352,                  0.853,                0.69539,                0.76908,                0.90098,                 1.5126,              0.0001101,              0.0001101,              0.0001101
                     93,                0.41345,                0.25065,                 1.0421,                0.77517,                0.81713,                0.87723,                0.71256,                 0.7601,                0.82885,                 1.5131,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.40212,                 0.2392,                 1.0424,                0.71721,                0.87439,                0.85483,                0.69535,                0.76722,                0.85181,                 1.5201,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.39494,                0.23857,                 1.0306,                0.73014,                0.86702,                0.85723,                0.69416,                0.76683,                0.85005,                 1.5227,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.38772,                 0.2374,                 1.0252,                0.75154,                0.86795,                0.86745,                0.70587,                0.75096,                0.82898,                 1.5188,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.37879,                0.23581,                 1.0246,                0.77869,                0.82913,                0.86632,                0.70367,                0.75072,                0.82757,                 1.5178,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.37135,                0.22938,                 1.0095,                0.76631,                0.83727,                0.86287,                0.69491,                0.75129,                 0.8392,                 1.5242,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.38027,                0.22273,                  1.011,                0.76915,                0.84938,                0.86313,                0.69934,                0.75095,                 0.8319,                 1.5255,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.36827,                0.23855,                0.99741,                 0.7753,                0.84273,                0.85439,                 0.6901,                0.75193,                0.83023,                 1.5275,             2.2109e-05,             2.2109e-05,             2.2109e-05
